set_id,id,from_joke,to_joke,timestamp,,
1,1,3,2,1:10,,dogs
2,2,6,1,3:40,,lindsey red lobster
3,3,5,4,1:45,,bleeding nipples
3,4,6,5,3:10,,not like that bohan
3,5,9,5,4:48,,bohan
3,6,13,5,8:34,,bohan
12,7,7,3,4:38,,still not gay
12,8,10,9,6:38,,finishing sex early
13,9,4,2,2:00,,little dumbass
13,10,13,4,11:46,,double dueces
14,11,10,9,7:46,,fuck skateboarders
16,12,13,6,7:30,,bring a towel
16,13,16,6,9:20,,bring a towel
20,14,5,3,2:25,,accept robot jesus
22,15,16,11,6:08,,handicap parking at the gym
26,16,13,10,4:34,,speaks english too well
28,17,2,1,0:53,,make you happy like other job
28,18,10,1,4:08,,works at my other job
31,19,4,1,1:48,,gf no relation
31,20,5,1,2:08,,no niece bday party
33,21,11,10,7:30,,what happened to ear
35,22,10,4,6:20,,mmm
37,23,15,3,8:27,,ACT score
45,24,4,3,3:06,,brown is good
45,25,17,4,11:10,,brown is good
47,26,12,3,6:27,,shark weeek
