number_in_set,set_id,start_time,end_time,reaction,,notes:
1,1,0:20,0:34,6,,thanks for int appreciation
2,1,0:35,1:00,8,,miss the dogs
3,1,1:10,1:14,6,,miss the dogs
4,1,1:25,2:45,8,,cultural difference trick or treat
5,1,3:00,5:00,9,,michael jackson trying to get gf
6,1,5:25,6:12,5,,gentleman dancing
7,1,6:20,7:40,7,,justin beiber pickup style
8,1,7:45,9:54,7,,human resource from eng companies dance partner
9,1,10:00,10:45,5,,second shift
10,1,11:02,12:10,8,,teach thai chee
1,2,0:26,0:42,5,,red lobster
2,2,1:00,1:29,4,,love having beard
3,2,1:31,1:48,3,,joined twitter nice muffins
4,2,1:50,2:14,6,,went to docs office
5,2,2:17,2:35,8,,want to tell your kids
6,2,2:35,3:42,7,,going out to bars don't make bet drunk
7,2,3:58,4:40,5,,watching bridezillas
8,2,4:50,5:21,3,,don’t always go to walmart 9/11
9,2,5:24,5:34,2,,walmart 69 cents
10,2,5:35,5:50,6,,walmart 420
11,2,5:53,6:37,7,,shoot and skeet
1,3,0:30,0:37,7,,thanks for making follow bohan
2,3,0:40,0:51,6,,ran dsm half marathon
3,3,0:56,1:13,6,,marathon until died
4,3,1:15,1:30,10,,sports protect nipples
5,3,1:40,2:45,8,,carbo loading
6,3,3:00,3:32,8,,ran half with gf
7,3,3:37,4:11,7,,"during race, looking at signs"
8,3,4:14,4:21,2,,grim reaper chasing elderly
9,3,4:30,6:30,9,,infomertial for juggling
10,3,7:00,7:15,6,,4 ball juggling
11,3,7:17,7:23,3,,actual 4 ball juggling
12,3,7:30,8:10,6,,9 ball juggling
13,3,8:23,9:05,8,,ball snacks
14,3,9:07,9:14,9,,hair in your package
15,3,9:21,9:36,6,,TA for lab
16,3,9:40,9:48,6,,dangerous to drop class
17,3,9:50,10:18,4,,stair sort
18,3,10:30,11:12,6,,high school austria trip
19,3,11:35,11:58,5,,raison cookies
20,3,12:06,12:20,6,,feminism
21,3,12:45,13:11,6,,tv jingles death metal bands 
1,4,0:33,1:13,6,,from minnesota
2,4,1:15,2:10,7,,huge hockey fan
3,4,2:15,2:43,8,,polish potatoes famine
4,4,2:46,3:07,6,,germine side
5,4,3:19,4:59,7,,immigrant grandmother kazm radio
6,4,5:00,5:43,8,,drive by shooting in small town
7,4,5:48,6:00,6,,monica going down on bill
8,4,6:10,6:53,7,,ncaa football
9,4,6:55,7:56,7,,skydiving
1,5,0:20,0:53,5,,gf cheating list
2,5,0:54,1:36,3,,living in iowa - boring relatives
3,5,1:40,1:49,7,,look at a map
4,5,1:52,6:51,6,,stayed up watching anime - eyes hurt
5,5,2:30,2:56,5,,talking to people is weird
6,5,2:57,3:05,2,,read articles online
7,5,3:10,3:25,1,,tuning out
8,5,3:49,4:27,6,,go into similar things as parents
9,5,4:32,5:20,6,,iowa state fair
10,5,5:40,6:32,4,,seeing shared emails
