id,comedian,venue_id,night,order_in_night
1,1,1,1,8
2,2,1,1,1
3,3,1,1,9
4,4,1,1,
5,5,1,1,
6,6,1,1,
7,7,1,1,
8,8,1,1,
9,9,1,1,
10,10,1,1,1
11,11,1,2,
12,12,1,2,
13,13,1,2,
14,14,1,2,
15,15,1,2,1
16,16,1,2,9
17,17,1,2,1
18,18,1,2,
19,19,1,1,
20,20,1,1,
21,21,1,1,
22,22,1,1,
23,23,1,1,
24,24,1,1,
25,25,1,1,
26,26,1,2,1
27,27,1,2,
28,28,1,2,
29,29,1,2,
30,30,1,2,
31,31,1,2,
32,32,1,2,
33,33,1,2,
34,34,1,2,
35,35,1,1,
36,36,1,1,
37,37,1,1,
38,38,1,1,
39,39,1,1,
40,40,1,1,
41,41,1,1,
42,42,1,2,
43,43,1,2,
44,44,1,2,
45,45,1,2,
46,46,1,2,
47,47,1,2,
48,48,1,2,
